doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.8598220396988362,401,10
FBIS3-20090,1,9.290847,0.9754127621597499,401,10
FT941-4506,0,9.233107,0.7532902742675278,401,10
FBIS4-18372,0,9.083562,0.7321183053557154,401,10
FT924-4470,1,8.691005,0.9415415415415413,401,10
LA101290-0115,1,11.674699,0.9253661034306193,402,10
LA072489-0053,0,10.390393,0.9778044551153793,402,10
LA100890-0105,0,9.990089,0.8613165185822107,402,10
LA030690-0022,0,9.987107,0.9317394888705687,402,10
LA020789-0112,0,9.914637,0.9052140921409213,402,10
LA030689-0082,0,10.093675,0.5761533463287849,403,10
LA083089-0024,0,9.708849,0.9345001944768572,403,10
FR940525-1-00062,1,9.441388,0.9067940552016984,403,10
LA071290-0133,1,9.441388,0.9585996955859968,403,10
FR940525-1-00078,1,9.323615,0.959180151024811,403,10
FBIS4-14340,0,11.890872,0.971411915588201,404,10
FT934-17386,0,11.085657,0.9581560283687941,404,10
FT934-8237,0,10.767681,0.9629236663719419,404,10
FT934-9649,0,10.700646,0.9271924011486635,404,10
FT934-17378,0,10.673793,0.9912895185622456,404,10
FBIS3-42549,0,12.6898575,0.9490666666666666,405,10
FBIS3-59742,0,11.0759945,0.8911174785100285,405,10
FBIS3-40213,0,10.533146,0.8711052708424587,405,10
FBIS3-42550,0,10.375032,0.8750342935528119,405,10
LA012289-0002,0,10.119149,0.9556733411857086,405,10
LA121189-0042,0,14.436002,0.9327204630575416,406,10
FT922-4560,0,13.775206,0.883611111111111,406,10
LA051790-0095,1,13.43512,0.9597138385870779,406,10
LA111589-0149,0,13.344221,0.9004767143381004,406,10
LA080489-0045,1,13.305286,0.8694677871148458,406,10
LA050889-0063,1,15.4146805,0.9538847117794484,407,10
LA012589-0100,1,13.370525,0.9086913580246914,407,10
FT941-15416,1,13.210795,0.762135112593828,407,10
LA012489-0067,0,13.210795,0.9125417262756317,407,10
FT921-6003,1,13.190692,0.876119687440442,407,10
LA060689-0099,0,14.307083,0.9234460826828561,408,10
LA082189-0033,0,14.284037,0.9040880503144654,408,10
LA082889-0052,0,13.61459,0.9078654116628798,408,10
FT923-1747,1,13.408705,0.7027097384924861,408,10
LA092390-0028,1,13.408705,0.8889098334904177,408,10
FT941-758,1,13.520545,0.9418018569533719,409,10
FT923-13692,1,12.870329,0.9802684076895175,409,10
FT923-13817,1,11.633671,0.9407989521938439,409,10
LA110489-0092,0,11.46385,0.9126843657817107,409,10
LA041689-0098,0,11.176984,0.9597352838732147,409,10
FBIS4-64577,1,12.05719,0.8736500203004466,410,10
FBIS3-59001,1,11.296025,0.9037681159420289,410,10
FT931-16236,0,11.077779,0.8846803377563329,410,10
FBIS3-39341,1,10.944582,0.9706784289014911,410,10
FT932-16523,1,10.917326,0.974241224597519,410,10
LA101289-0146,1,18.396696,0.983294374318217,411,10
FT922-4205,1,17.11045,0.892091049382716,411,10
FT934-6249,0,15.800142,0.8733253108704371,411,10
LA050490-0070,0,15.5291195,0.9710458178543284,411,10
LA041589-0050,1,15.266436,0.9918732380674635,411,10
LA041890-0141,0,8.366061,0.9422550052687039,412,10
FT933-6584,1,8.080351,0.9449844881075491,412,10
LA021489-0071,1,8.027657,0.8990082979154017,412,10
FBIS4-1468,1,7.752486,0.7493349334933492,412,10
FT943-8889,0,7.5650406,0.9231372549019606,412,10
FBIS4-51135,0,8.786941,0.8881677148846959,413,10
FT943-2620,0,8.498466,0.9732273985795111,413,10
FBIS3-7699,0,8.378071,0.9439711516790623,413,10
FBIS3-40861,0,8.363681,0.8827288972984335,413,10
FBIS4-27541,0,8.3462105,0.8724342663273958,413,10
LA040590-0222,0,14.256916,0.9785262614530905,414,10
FT921-9644,1,13.95374,0.971705426356589,414,10
LA061890-0107,0,13.594603,0.9151161660348011,414,10
FT921-8261,0,13.446551,0.9109844887622665,414,10
FT943-11487,0,13.357056,0.8702830587241231,414,10
FT921-3261,1,16.829954,0.8469636456733229,415,10
FBIS3-60083,1,16.679523,0.9545083254791076,415,10
FBIS3-60025,1,15.317625,0.9497640497640496,415,10
FBIS4-2802,1,14.865173,0.7260151717983042,415,10
FBIS4-21166,1,14.74885,0.8385132463424277,415,10
FBIS3-45089,0,11.886904,0.8990784874483634,416,10
FBIS3-25805,0,11.684843,0.7348174184729545,416,10
FBIS4-66355,1,11.587604,0.84002624671916,416,10
FBIS3-46276,1,11.393773,0.8837706511175897,416,10
FBIS3-3711,0,11.3775835,0.9439659755449228,416,10
LA092989-0114,1,6.5508046,0.9924001924001923,417,10
FBIS4-25449,0,6.510442,0.8069216757741348,417,10
LA092989-0098,1,6.3569546,0.9713733075435201,417,10
FT931-3244,0,6.223255,0.9837231968810913,417,10
LA082990-0115,0,6.203093,0.8535382644892731,417,10
LA102189-0167,1,9.719133,0.9056919439898162,418,10
LA051889-0088,1,9.578237,0.9264654418197724,418,10
LA022490-0006,0,9.041793,0.9348062760166506,418,10
LA081189-0137,1,9.041793,0.9329380764163372,418,10
LA060890-0112,1,9.031743,0.9056020844965568,418,10
FBIS3-41645,0,14.722347,0.9365628604382928,419,10
FBIS3-41503,0,14.377756,0.8771571571571571,419,10
LA040190-0174,1,13.241081,0.9644267902460553,419,10
FBIS4-67400,0,12.673786,0.9871509470806483,419,10
LA020890-0157,0,12.07088,0.9157594291539245,419,10
LA121590-0108,1,20.49439,0.9521767381416503,420,10
LA011690-0088,0,20.386726,0.963408521303258,420,10
LA010390-0086,1,19.058653,0.9690669763840493,420,10
LA011989-0129,1,18.77626,0.9919292426755111,420,10
LA020689-0022,1,18.654099,0.9857487922705311,420,10
FT931-2779,0,12.33889,0.8748971193415637,421,10
FT933-4383,0,11.8105,0.819026870007262,421,10
FBIS4-53866,0,11.026218,0.9824299909665762,421,10
LA040790-0126,0,11.001229,0.8926594464500599,421,10
FBIS3-22152,0,10.826214,0.9531893004115225,421,10
LA062890-0110,0,12.604323,0.9154299175500586,422,10
FT944-2627,0,12.381614,0.8864077669902911,422,10
FT944-2524,0,11.491346,0.9127228327228326,422,10
FBIS4-36101,0,10.959179,0.9643488649940262,422,10
LA101489-0065,1,10.825184,0.9233245537020777,422,10
FT942-11666,1,22.477549,0.8469696969696968,423,10
FT933-2528,1,22.29892,0.9600378020791142,423,10
FT944-439,1,22.112698,0.7607461476074613,423,10
FBIS4-32072,1,21.894691,0.2867534200867534,423,10
FT943-7734,1,21.871471,0.7361592806679511,423,10
FT944-3141,0,7.051557,0.30517482517482514,424,10
LA103190-0037,0,7.051557,0.8999579124579123,424,10
LA111689-0152,0,7.051557,0.5121973297126047,424,10
LA072689-0058,0,7.0358224,0.9581113277019709,424,10
LA052890-0009,0,6.9870763,0.9325351816845199,424,10
FBIS4-26260,1,11.445114,0.8944379314836522,425,10
LA091590-0091,1,11.0711155,0.927035056446821,425,10
FBIS3-58171,1,11.061182,0.9459321245932124,425,10
FBIS4-58263,1,10.917299,0.8019422373565391,425,10
LA071389-0111,1,10.871088,0.7260409924487593,425,10
LA051990-0141,0,13.191021,0.948009259259259,426,10
LA041089-0080,0,11.6655445,0.885738290275152,426,10
LA070390-0036,1,11.620773,0.8348170800770188,426,10
LA012990-0011,0,11.569998,0.7473519334312284,426,10
LA082790-0084,0,11.5565405,0.9274832041343668,426,10
LA082089-0008,1,16.645687,0.9237130801687763,427,10
FT933-1362,1,15.389824,0.8900115568763413,427,10
FR941028-2-00201,0,14.126129,0.974532391923696,427,10
FT924-7120,1,14.024277,0.9506265664160399,427,10
FT922-7705,1,13.195225,0.995979039674901,427,10
LA083090-0246,0,12.1676855,0.966237251744498,428,10
FBIS4-66212,0,11.373832,0.8536643026004727,428,10
FBIS4-38757,0,11.316113,0.9102654451491661,428,10
LA030990-0060,0,11.28607,0.9373931623931623,428,10
FT941-16778,1,10.811983,0.9932203389830505,428,10
LA110389-0072,1,15.062895,0.953865479045335,429,10
LA052190-0047,0,14.85724,0.8673643172258129,429,10
LA062090-0050,1,14.665972,0.9652762664732195,429,10
LA010590-0062,1,14.454158,0.9378698906160046,429,10
FT932-10547,1,14.260535,0.9562353940939026,429,10
LA031389-0095,0,18.367445,0.996638240019775,430,10
LA073089-0143,1,17.086674,0.9760127591706538,430,10
LA080389-0111,1,17.073605,0.8833535353535351,430,10
LA061589-0055,1,16.03025,0.9751044277360066,430,10
FT911-4886,1,15.342434,0.992167101827676,430,10
FBIS3-46247,1,11.311753,0.9683230564623381,431,10
FBIS4-22880,1,10.846091,0.8937019969278033,431,10
FBIS3-20965,1,10.831484,0.9547435376911625,431,10
FBIS3-40520,1,10.738638,0.9154578384297867,431,10
FBIS4-44737,1,10.509848,0.9829787234042553,431,10
FT933-17008,0,10.755975,0.8886657101865134,432,10
LA020690-0009,0,10.402788,0.9085189112760692,432,10
FT922-3158,0,10.249755,0.9139907170597705,432,10
FT923-9219,0,10.060238,0.9297974927675987,432,10
FT923-12661,0,10.060238,0.9789928446064532,432,10
FT924-9527,0,13.207598,0.9117521367521366,433,10
FT931-15365,1,12.748895,0.7813184253435825,433,10
LA031989-0196,0,12.488016,0.819522160049738,433,10
FBIS3-13963,1,11.00848,0.938531635083359,433,10
FBIS3-39640,0,10.134823,0.9668734356295569,433,10
FBIS4-15983,1,9.010666,0.9192675821889303,434,10
FBIS3-23779,1,8.796744,0.9928777479359393,434,10
FBIS3-23777,1,8.6885,0.9412567471229248,434,10
FT943-14253,1,8.655019,0.9498426531106269,434,10
FBIS3-36117,0,8.614734,0.9662203913491244,434,10
LA121589-0139,0,12.818815,0.9684692942254811,435,10
LA082189-0092,0,11.639069,0.9666560340244549,435,10
LA051590-0008,0,11.6229105,0.9080863077233312,435,10
FBIS3-27959,0,11.504406,0.8677813736066161,435,10
FT943-8138,0,11.204991,0.871991306710133,435,10
FBIS3-27285,0,10.594955,0.9058641975308641,436,10
FT942-13580,0,9.994491,0.9305792972459638,436,10
LA112690-0054,1,9.840849,0.9334759140441998,436,10
FBIS3-11568,1,9.749218,0.8972935734671783,436,10
FT931-14769,1,9.71661,0.979102281089036,436,10
FT941-5812,0,12.543911,0.9471264367816091,437,10
FT941-16324,0,11.884956,0.9589932473910373,437,10
FT942-3871,0,11.848943,0.9384101536406145,437,10
FT943-13268,0,11.685851,0.9713811007268951,437,10
FT922-7077,0,11.408407,0.8244801714898178,437,10
FT923-14219,0,9.31339,0.9097250167672702,438,10
FBIS3-33309,1,8.364754,0.2199012630634096,438,10
FT924-2517,0,8.282791,0.7547523427041497,438,10
LA031590-0065,0,8.130077,0.9784810126582277,438,10
FBIS4-51074,1,8.047753,0.9902986857825566,438,10
LA100589-0058,0,14.079947,0.951362683438155,439,10
FR940627-2-00078,0,12.565465,0.9401118099231306,439,10
FT942-14635,1,12.176708,0.8266467364225211,439,10
LA102089-0100,0,12.096449,0.9606570758085909,439,10
FR941006-0-00056,0,12.000536,0.8782653323069026,439,10
LA031690-0183,1,10.244872,0.9707363240583,440,10
LA060689-0153,1,9.336216,0.9109966618979493,440,10
FR940513-1-00101,0,9.2096,0.9024535870883477,440,10
LA032290-0007,1,9.155285,0.7698476702508961,440,10
LA052890-0002,0,8.934223,0.9797353985156501,440,10
LA112690-0027,1,15.628166,0.9331273601098523,441,10
LA092690-0153,0,15.615651,0.9938393839383938,441,10
FBIS4-67664,1,15.223649,0.7564444444444445,441,10
LA073090-0058,0,15.223649,0.703201506591337,441,10
LA092090-0248,1,15.070203,0.8829575462116593,441,10
LA050489-0087,0,8.492267,0.8905688463583199,442,10
LA121090-0007,0,8.473166,0.7713941583860282,442,10
FBIS3-32664,0,8.1055975,0.8577777777777776,442,10
FT941-7537,0,7.917472,0.9721026920278555,442,10
LA121789-0069,0,7.4189825,0.8394199346405228,442,10
FBIS4-3998,1,8.766646,0.7476562499999999,443,10
LA042789-0136,1,8.506839,0.9283154121863798,443,10
FBIS4-29593,0,8.465351,0.922504892367906,443,10
LA060889-0154,0,8.339059,0.8729741568112133,443,10
FBIS4-48293,0,8.132986,0.787958401751505,443,10
FBIS4-45803,1,16.028015,0.9090889534258362,444,10
FBIS4-44747,1,15.422307,0.9150081187659476,444,10
FT943-4354,1,14.813602,0.9613050422085327,444,10
FR940318-0-00170,1,14.273998,0.9682415553383293,444,10
FR940318-0-00213,1,14.273998,0.7353026353895162,444,10
FT931-11616,1,12.182492,0.9845285728942235,445,10
FT942-2917,1,11.761932,0.713225995005048,445,10
LA102790-0157,0,11.761932,0.9413793103448275,445,10
LA110789-0149,1,11.703853,0.8937825912555153,445,10
LA121790-0116,0,11.523384,0.7383574879227052,445,10
FT924-8062,1,9.588725,0.15084775388918023,446,10
FBIS4-56591,1,9.475318,0.9470671455000543,446,10
FT941-11012,0,9.375123,0.11673393644166082,446,10
FBIS4-10911,1,9.289269,0.8738639829216224,446,10
FT943-11047,1,9.262163,0.9735241502683359,446,10
FT922-334,0,11.604546,0.9685814116002794,447,10
FT922-578,0,11.16242,0.7661700262927256,447,10
FT921-13537,0,9.823916,0.9398050682261206,447,10
FBIS3-24505,1,9.536487,0.7860786856895805,447,10
LA060990-0066,0,9.386312,0.8979925303454714,447,10
FT934-3853,0,8.624012,0.7985341542069773,448,10
FT944-16365,0,8.302617,0.8775491540923638,448,10
FT921-6247,0,8.245427,0.9020798576354131,448,10
FT931-11047,0,8.245427,0.9113891371264023,448,10
FT921-12138,0,8.071614,0.8526034202732397,448,10
FR940523-0-00038,0,12.227402,0.9742231894571394,449,10
FT934-6703,0,12.121614,0.9347517730496452,449,10
