cdfr,cne,cpe,dfr,doc_id,doc_rel,doc_score,kernel,ne,pe,query_id,top_feat
[[1.1513819]],[[0.1021358]],[[0.22018559]],0.9653361958901443,LA022790-0091,0,9.807556,0,3.0803332078959342,3.19094344644928,401,25
[[0.99870239]],[[0.02222421]],[[0.02095379]],0.931083110000042,LA022790-0091,0,9.807556,1,2.937282708692614,3.154694438278965,401,25
[[1.00502464]],[[0.01973999]],[[0.02464081]],0.9349680236447142,LA022790-0091,0,9.807556,2,2.970239098862287,3.1768349545085313,401,25
[[1.00074299]],[[0.02160918]],[[0.02233557]],0.9335659890835647,LA022790-0091,0,9.807556,3,3.000389752303237,3.213902163733032,401,25
[[0.99150238]],[[0.03624261]],[[0.02798278]],0.9299339356505214,LA022790-0091,0,9.807556,4,2.851876635550431,3.0667518693738636,401,25
[[1.14654387]],[[0.10410791]],[[0.21861508]],0.9630904052047123,LA022790-0091,0,9.807556,5,3.076154613983168,3.1940455406461115,401,25
[[0.99997679]],[[0.02969354]],[[0.02967102]],0.932073457840891,LA022790-0091,0,9.807556,6,2.9502384439236113,3.1652424163624557,401,25
[[0.99130619]],[[0.02881727]],[[0.02029994]],0.9290729062599913,LA022790-0091,0,9.807556,7,2.850794870449319,3.06842966923368,401,25
[[0.98935588]],[[0.03035444]],[[0.01992238]],0.9280764907190314,LA022790-0091,0,9.807556,8,2.862885511187015,3.084751677061641,401,25
[[0.99967974]],[[0.05126952]],[[0.05096558]],0.9321154623726167,LA022790-0091,0,9.807556,9,3.0523241868011803,3.274620269716116,401,25
[[0.98858051]],[[0.02963001]],[[0.01842087]],0.9275358258133874,LA022790-0091,0,9.807556,10,2.879747126445859,3.104728729933975,401,25
[[1.00043096]],[[0.02638418]],[[0.02680358]],0.9321481777214853,LA022790-0091,0,9.807556,11,2.9257993269954907,3.13877063424318,401,25
[[0.99586924]],[[0.02286321]],[[0.01881015]],0.9310853505813765,LA022790-0091,0,9.807556,12,2.8280845874781058,3.0374063835417764,401,25
[[1.00601101]],[[0.02164934]],[[0.02749508]],0.9357816827645137,LA022790-0091,0,9.807556,13,2.96448191357153,3.1679204329088497,401,25
[[0.99497902]],[[0.05334544]],[[0.04856832]],0.9287035963693266,LA022790-0091,0,9.807556,14,3.047826748643784,3.281807845429862,401,25
