doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.882378903232925,401,10
FBIS3-20090,1,9.290847,0.11898734177215191,401,10
FT941-4506,0,9.233107,0.9053398058252425,401,10
FBIS4-18372,0,9.083562,0.5895055011485913,401,10
FT924-4470,1,8.691005,0.768617176128093,401,10
LA101290-0115,1,11.674699,0.8993821342548957,402,10
LA072489-0053,0,10.390393,0.7662894580107205,402,10
LA100890-0105,0,9.990089,0.8483251633986927,402,10
LA030690-0022,0,9.987107,0.9378268876611418,402,10
LA020789-0112,0,9.914637,0.8535795270489146,402,10
LA030689-0082,0,10.093675,0.7518318318318318,403,10
LA083089-0024,0,9.708849,0.8511574074074074,403,10
FR940525-1-00062,1,9.441388,0.6982496857170486,403,10
LA071290-0133,1,9.441388,0.932719754568494,403,10
FR940525-1-00078,1,9.323615,0.8507966260543578,403,10
FBIS4-14340,0,11.890872,0.9563276631680538,404,10
FT934-17386,0,11.085657,0.9249331006399069,404,10
FT934-8237,0,10.767681,0.923679808841099,404,10
FT934-9649,0,10.700646,0.9257669376693767,404,10
FT934-17378,0,10.673793,0.9794990813267574,404,10
FBIS3-42549,0,12.6898575,0.7442970822281166,405,10
FBIS3-59742,0,11.0759945,0.7409794143971359,405,10
FBIS3-40213,0,10.533146,0.9272994849153787,405,10
FBIS3-42550,0,10.375032,0.7665925925925924,405,10
LA012289-0002,0,10.119149,0.7352004393190554,405,10
LA121189-0042,0,14.436002,0.8198598314827938,406,10
FT922-4560,0,13.775206,0.8837016853365626,406,10
LA051790-0095,1,13.43512,0.9486151524948808,406,10
LA111589-0149,0,13.344221,0.9411901983663943,406,10
LA080489-0045,1,13.305286,0.8615291409184538,406,10
LA050889-0063,1,15.4146805,0.7914138008541244,407,10
LA012589-0100,1,13.370525,0.9383290267011195,407,10
FT941-15416,1,13.210795,0.9655225019069411,407,10
LA012489-0067,0,13.210795,0.8987119603680113,407,10
FT921-6003,1,13.190692,0.9534998458217697,407,10
LA060689-0099,0,14.307083,0.8559999999999998,408,10
LA082189-0033,0,14.284037,0.9037547892720307,408,10
LA082889-0052,0,13.61459,0.7869991095280496,408,10
FT923-1747,1,13.408705,0.7864854215918043,408,10
LA092390-0028,1,13.408705,0.9009499412957624,408,10
FT941-758,1,13.520545,0.9050990870630148,409,10
FT923-13692,1,12.870329,0.2237217305801377,409,10
FT923-13817,1,11.633671,0.9328703703703702,409,10
LA110489-0092,0,11.46385,0.8483684050015248,409,10
LA041689-0098,0,11.176984,0.9424836601307188,409,10
FBIS4-64577,1,12.05719,0.6521012101210121,410,10
FBIS3-59001,1,11.296025,0.9184815738431696,410,10
FT931-16236,0,11.077779,0.9413825377724293,410,10
FBIS3-39341,1,10.944582,0.8600538254517491,410,10
FT932-16523,1,10.917326,0.9009536054859101,410,10
LA101289-0146,1,18.396696,0.7213885472188054,411,10
FT922-4205,1,17.11045,0.8107360525082042,411,10
FT934-6249,0,15.800142,0.8921155774314098,411,10
LA050490-0070,0,15.5291195,0.8118040621266426,411,10
LA041589-0050,1,15.266436,0.9748950175916465,411,10
LA041890-0141,0,8.366061,0.681782706921339,412,10
FT933-6584,1,8.080351,0.9570322734309872,412,10
LA021489-0071,1,8.027657,0.9475619504396482,412,10
FBIS4-1468,1,7.752486,0.9093742017879948,412,10
FT943-8889,0,7.5650406,0.9371665996515212,412,10
FBIS4-51135,0,8.786941,0.8641819456968238,413,10
FT943-2620,0,8.498466,0.9545475372279494,413,10
FBIS3-7699,0,8.378071,0.9398591346844902,413,10
FBIS3-40861,0,8.363681,0.8686593025774311,413,10
FBIS4-27541,0,8.3462105,0.6764838775929348,413,10
LA040590-0222,0,14.256916,0.81697247706422,414,10
FT921-9644,1,13.95374,0.852119750853928,414,10
LA061890-0107,0,13.594603,0.9444557247602932,414,10
FT921-8261,0,13.446551,0.9195767195767195,414,10
FT943-11487,0,13.357056,0.8269889910339348,414,10
FT921-3261,1,16.829954,0.9288524963038779,415,10
FBIS3-60083,1,16.679523,0.8502334267040149,415,10
FBIS3-60025,1,15.317625,0.8996870109546166,415,10
FBIS4-2802,1,14.865173,0.8488224919597467,415,10
FBIS4-21166,1,14.74885,0.8461000349772647,415,10
FBIS3-45089,0,11.886904,0.9160818713450292,416,10
FBIS3-25805,0,11.684843,0.7860648661980514,416,10
FBIS4-66355,1,11.587604,0.9400780972665955,416,10
FBIS3-46276,1,11.393773,0.5515590008613264,416,10
FBIS3-3711,0,11.3775835,0.9174077904170974,416,10
LA092989-0114,1,6.5508046,0.8027407407407406,417,10
FBIS4-25449,0,6.510442,0.7054711978790069,417,10
LA092989-0098,1,6.3569546,0.9092773193298325,417,10
FT931-3244,0,6.223255,0.8229024943310657,417,10
LA082990-0115,0,6.203093,0.7417543859649122,417,10
LA102189-0167,1,9.719133,0.9446820644425432,418,10
LA051889-0088,1,9.578237,0.8834192842631661,418,10
LA022490-0006,0,9.041793,0.9610981610981609,418,10
LA081189-0137,1,9.041793,0.9261459479281259,418,10
LA060890-0112,1,9.031743,0.8763326226012793,418,10
FBIS3-41645,0,14.722347,0.7463703703703704,419,10
FBIS3-41503,0,14.377756,0.8922491039426521,419,10
LA040190-0174,1,13.241081,0.9253752392464992,419,10
FBIS4-67400,0,12.673786,0.878216759340552,419,10
LA020890-0157,0,12.07088,0.8190945071918138,419,10
LA121590-0108,1,20.49439,0.9317460317460317,420,10
LA011690-0088,0,20.386726,0.9755020080321283,420,10
LA010390-0086,1,19.058653,0.9633382280959372,420,10
LA011989-0129,1,18.77626,0.987900963532138,420,10
LA020689-0022,1,18.654099,0.9334868926181856,420,10
FT931-2779,0,12.33889,0.9877731927250496,421,10
FT933-4383,0,11.8105,0.9055438596491228,421,10
FBIS4-53866,0,11.026218,0.9569769031023643,421,10
LA040790-0126,0,11.001229,0.8265264176036754,421,10
FBIS3-22152,0,10.826214,0.977383659239048,421,10
LA062890-0110,0,12.604323,0.973867163252638,422,10
FT944-2627,0,12.381614,0.8792956891317546,422,10
FT944-2524,0,11.491346,0.9310129406514948,422,10
FBIS4-36101,0,10.959179,0.8563994374120956,422,10
LA101489-0065,1,10.825184,0.9383498772547763,422,10
FT942-11666,1,22.477549,0.8956500124285358,423,10
FT933-2528,1,22.29892,0.7421903052064631,423,10
FT944-439,1,22.112698,0.9563163734347757,423,10
FBIS4-32072,1,21.894691,0.9677224736048263,423,10
FT943-7734,1,21.871471,0.8383296047725576,423,10
FT944-3141,0,7.051557,0.7335701598579041,424,10
LA103190-0037,0,7.051557,0.9072211044042028,424,10
LA111689-0152,0,7.051557,0.5652090800477897,424,10
LA072689-0058,0,7.0358224,0.9255189255189253,424,10
LA052890-0009,0,6.9870763,0.8274952919020715,424,10
FBIS4-26260,1,11.445114,0.933268921095008,425,10
LA091590-0091,1,11.0711155,0.7824032176973352,425,10
FBIS3-58171,1,11.061182,0.8509105790873747,425,10
FBIS4-58263,1,10.917299,0.943576945929887,425,10
