doc_id,doc_rel,doc_score,ktau,query_id,top_feat
LA022790-0091,0,9.807556,0.8358008658008657,401,25
FBIS3-20090,1,9.290847,0.7933905852417302,401,25
FT941-4506,0,9.233107,0.3186515079741038,401,25
FBIS4-18372,0,9.083562,0.8236601307189542,401,25
FT924-4470,1,8.691005,0.9097875039644782,401,25
LA101290-0115,1,11.674699,0.8207036374478233,402,25
LA072489-0053,0,10.390393,0.7870867579908675,402,25
LA100890-0105,0,9.990089,0.8701866151866151,402,25
LA030690-0022,0,9.987107,0.9000109649122806,402,25
LA020789-0112,0,9.914637,0.9321564694082245,402,25
LA030689-0082,0,10.093675,0.837417069243156,403,25
LA083089-0024,0,9.708849,0.8229815395332636,403,25
FR940525-1-00062,1,9.441388,0.9162790697674418,403,25
LA071290-0133,1,9.441388,0.5995591647331786,403,25
FR940525-1-00078,1,9.323615,0.8008574091332712,403,25
FBIS4-14340,0,11.890872,0.8952732240437156,404,25
FT934-17386,0,11.085657,0.8789459815546771,404,25
FT934-8237,0,10.767681,0.825,404,25
FT934-9649,0,10.700646,0.9054846335697397,404,25
FT934-17378,0,10.673793,0.8670583435332517,404,25
FBIS3-42549,0,12.6898575,0.8590604026845636,405,25
FBIS3-59742,0,11.0759945,0.8573372206025266,405,25
FBIS3-40213,0,10.533146,0.922185592185592,405,25
FBIS3-42550,0,10.375032,0.8267528470298552,405,25
LA012289-0002,0,10.119149,0.9266495580268034,405,25
LA121189-0042,0,14.436002,0.8888052681091249,406,25
FT922-4560,0,13.775206,0.8802001876759462,406,25
LA051790-0095,1,13.43512,0.8372081575246131,406,25
LA111589-0149,0,13.344221,0.8895868811100598,406,25
LA080489-0045,1,13.305286,0.8095771144278606,406,25
LA050889-0063,1,15.4146805,0.839382042893493,407,25
LA012589-0100,1,13.370525,0.284661079253051,407,25
FT941-15416,1,13.210795,0.8729828660436135,407,25
LA012489-0067,0,13.210795,0.7926188313654252,407,25
FT921-6003,1,13.190692,0.6976897246474142,407,25
LA060689-0099,0,14.307083,0.9790714544795065,408,25
LA082189-0033,0,14.284037,0.8251510067114092,408,25
LA082889-0052,0,13.61459,0.8371279916753381,408,25
FT923-1747,1,13.408705,0.828181833561725,408,25
LA092390-0028,1,13.408705,0.8906752411575561,408,25
FT941-758,1,13.520545,0.8666604593420234,409,25
FT923-13692,1,12.870329,0.8906362252663621,409,25
FT923-13817,1,11.633671,0.884307155322862,409,25
LA110489-0092,0,11.46385,0.9154347021827598,409,25
LA041689-0098,0,11.176984,0.7666731834473768,409,25
FBIS4-64577,1,12.05719,0.8393220338983051,410,25
FBIS3-59001,1,11.296025,0.8418578135479542,410,25
FT931-16236,0,11.077779,0.8018544600938966,410,25
FBIS3-39341,1,10.944582,0.9058637992831541,410,25
FT932-16523,1,10.917326,0.9631014754591989,410,25
LA101289-0146,1,18.396696,0.6157702944525784,411,25
FT922-4205,1,17.11045,0.8282716049382715,411,25
FT934-6249,0,15.800142,0.8936420361247945,411,25
LA050490-0070,0,15.5291195,0.8567108753315649,411,25
LA041589-0050,1,15.266436,0.9516133617626154,411,25
LA041890-0141,0,8.366061,0.8781780104712041,412,25
FT933-6584,1,8.080351,0.8804630510624801,412,25
LA021489-0071,1,8.027657,0.8986753327143299,412,25
FBIS4-1468,1,7.752486,0.8315322319403949,412,25
FT943-8889,0,7.5650406,0.8501452355650017,412,25
FBIS4-51135,0,8.786941,0.8755190058479532,413,25
FT943-2620,0,8.498466,0.7419205037386853,413,25
FBIS3-7699,0,8.378071,0.8044303030303029,413,25
FBIS3-40861,0,8.363681,0.7972151898734176,413,25
FBIS4-27541,0,8.3462105,0.8133664678595096,413,25
LA040590-0222,0,14.256916,0.8560555004955399,414,25
FT921-9644,1,13.95374,0.8239307868103165,414,25
LA061890-0107,0,13.594603,0.7871626808384999,414,25
FT921-8261,0,13.446551,0.8907539300609559,414,25
FT943-11487,0,13.357056,0.7562163693004814,414,25
