,query_id,doc_id,doc_score,dfr,ne,pe,doc_rel,top_feat
0,401,FBIS3-20090,9.290847,[0.41539776],[[0.16650821]],[[0.40084042]],1,5
1,401,FBIS3-20090,9.290847,[0.92176347],[[0.06063464]],[[0.06578113]],1,10
2,401,FBIS3-20090,9.290847,[0.35800238],[[0.16284654]],[[0.45487559]],1,15
3,401,FBIS3-20090,9.290847,[0.34950909],[[0.15127674]],[[0.43282633]],1,20
4,401,FBIS3-20090,9.290847,[0.34922367],[[0.14325761]],[[0.41021734]],1,25
5,401,FBIS3-20090,9.290847,[0.35889145],[[0.14586857]],[[0.40644204]],1,30
6,401,FBIS4-18372,9.083562,[0.69642926],[[0.2068031]],[[0.29694774]],0,5
7,401,FBIS4-18372,9.083562,[0.73749906],[[0.13097217]],[[0.17758961]],0,10
8,401,FBIS4-18372,9.083562,[0.57289812],[[0.17068354]],[[0.29793]],0,15
9,401,FBIS4-18372,9.083562,[0.5851629],[[0.17494055]],[[0.29896042]],0,20
10,401,FBIS4-18372,9.083562,[0.59641585],[[0.17746134]],[[0.29754632]],0,25
11,401,FBIS4-18372,9.083562,[0.61265843],[[0.18591234]],[[0.30345186]],0,30
12,401,FT924-4470,8.691005,[0.41060774],[[0.00930195]],[[0.0226541]],1,5
13,401,FT924-4470,8.691005,[0.01994164],[[0.00176885]],[[0.08870111]],1,10
14,401,FT924-4470,8.691005,[0.03387503],[[0.0028521]],[[0.08419487]],1,15
15,401,FT924-4470,8.691005,[0.27331346],[[0.02525516]],[[0.09240365]],1,20
16,401,FT924-4470,8.691005,[0.31936439],[[0.03215735]],[[0.10069172]],1,25
17,401,FT924-4470,8.691005,[0.37035656],[[0.03900404]],[[0.10531483]],1,30
18,401,FT941-4506,9.233107,[0.89571424],[[0.31252598]],[[0.34891259]],0,5
19,401,FT941-4506,9.233107,[1.13009508],[[0.14119323]],[[0.12493925]],0,10
20,401,FT941-4506,9.233107,[1.12998482],[[0.14826253]],[[0.13120754]],0,15
21,401,FT941-4506,9.233107,[1.49080211],[[0.27346828]],[[0.18343701]],0,20
22,401,FT941-4506,9.233107,[1.73561579],[[0.27980244]],[[0.1612122]],0,25
23,401,FT941-4506,9.233107,[1.92339339],[[0.30505988]],[[0.15860504]],0,30
24,401,LA022790-0091,9.807556,[0.42820865],[[0.16683441]],[[0.38961007]],0,5
25,401,LA022790-0091,9.807556,[0.44550496],[[0.16789626]],[[0.37686731]],0,10
26,401,LA022790-0091,9.807556,[0.45299119],[[0.14331152]],[[0.31636713]],0,15
27,401,LA022790-0091,9.807556,[0.47233177],[[0.13218417]],[[0.2798545]],0,20
28,401,LA022790-0091,9.807556,[0.47768785],[[0.12677257]],[[0.26538788]],0,25
29,401,LA022790-0091,9.807556,[0.48138948],[[0.12312928]],[[0.25577892]],0,30
30,402,LA020789-0112,9.914637,[0.31836323],[[0.02999408]],[[0.0942134]],0,5
31,402,LA020789-0112,9.914637,[0.34404861],[[0.00566495]],[[0.01646555]],0,10
32,402,LA020789-0112,9.914637,[0.39740261],[[0.00725056]],[[0.01824486]],0,15
33,402,LA020789-0112,9.914637,[0.43186739],[[0.00815628]],[[0.01888609]],0,20
34,402,LA020789-0112,9.914637,[0.44408948],[[0.00859335]],[[0.01935049]],0,25
35,402,LA020789-0112,9.914637,[0.52793116],[[0.01107134]],[[0.02097118]],0,30
36,402,LA030690-0022,9.987107,[0.32072208],[[0.04882046]],[[0.15222046]],0,5
37,402,LA030690-0022,9.987107,[0.28744741],[[0.03966617]],[[0.13799452]],0,10
38,402,LA030690-0022,9.987107,[0.30396757],[[0.03774457]],[[0.124173]],0,15
39,402,LA030690-0022,9.987107,[0.33023725],[[0.03832876]],[[0.11606432]],0,20
40,402,LA030690-0022,9.987107,[0.38465093],[[0.04508908]],[[0.11722078]],0,25
41,402,LA030690-0022,9.987107,[0.43361545],[[0.04872815]],[[0.11237642]],0,30
42,402,LA072489-0053,10.390393,[0.38095325],[[0.06572585]],[[0.17252996]],0,5
